asset type,asset id,asset ip,asset name,region,zone,environment,application,application tier,infrastructure service
VIRTUAL_MACHINE,,,xvkkmq8228,nam,us-south,dev,sap,nginx,
VIRTUAL_MACHINE,,10.0.0.71,,nam,us-south,dev,sap,nginx,
VIRTUAL_MACHINE,,10.0.0.72,zckzgt8968,nam,us-south,dev,sap,node.js,
VIRTUAL_MACHINE,,10.0.0.73,tyzhta1564,nam,us-south,dev,sap,node.js,
VIRTUAL_MACHINE,,10.0.0.74,ydimbe0598,nam,us-south,dev,sap,mysql,
VIRTUAL_MACHINE,,10.0.0.75,jjsdwz8951,nam,us-south,dev,sap,mysql,
VIRTUAL_MACHINE,,10.0.0.76,rvejda0049,nam,us-west,prod,jira,oracle,
VIRTUAL_MACHINE,,10.0.0.77,hdxugs8842,nam,us-west,prod,jira,oracle,
VIRTUAL_MACHINE,,10.0.0.78,gukiqw9819,nam,us-west,prod,jira,jboss,
VIRTUAL_MACHINE,,10.0.0.79,qtclqw9130,nam,us-west,prod,jira,jboss,
VIRTUAL_MACHINE,,10.0.0.80,qovsrx6258,nam,us-west,prod,jira,apache,
VIRTUAL_MACHINE,,10.0.0.81,rcbluv2151,nam,us-west,prod,jira,apache,
VIRTUAL_MACHINE,,10.0.0.82,reyhth5902,nam,us-west,prod,sharepoint,ha proxy,
VIRTUAL_MACHINE,,10.0.0.83,eaineg0296,nam,us-west,prod,sharepoint,ha proxy,
VIRTUAL_MACHINE,,10.0.0.84,hwfknk8987,nam,us-west,prod,sharepoint,jboss,
VIRTUAL_MACHINE,,10.0.0.85,btwqbx3308,nam,us-west,prod,sharepoint,jboss,
VIRTUAL_MACHINE,,10.0.0.86,jsouyu6091,nam,us-west,prod,sharepoint,oracle,
VIRTUAL_MACHINE,,10.0.0.87,ilftry4668,nam,us-west,prod,sharepoint,oracle,
VIRTUAL_MACHINE,,10.0.0.88,lnavti4789,,,,,,ntp:udp/123
VIRTUAL_MACHINE,,10.0.0.89,rqdnnu5720,,,,,,ntp:udp/123
VIRTUAL_MACHINE,,10.0.0.90,wqafba9936,,,,,,dns:udp/53
VIRTUAL_MACHINE,,10.0.0.91,oiuagx0504,,,,,,dns:udp/53
VIRTUAL_MACHINE,,10.0.0.92,yyhgza8639,,,,,,ntp:udp/123
VIRTUAL_MACHINE,,10.0.0.93,ymosfn5318,emea,uk-lon,dev,servicenow,cassandra,
VIRTUAL_MACHINE,,10.0.0.94,pscffc2473,emea,uk-lon,dev,servicenow,cassandra,
VIRTUAL_MACHINE,,10.0.0.95,xfqter0293,emea,uk-lon,dev,servicenow,node.js,
VIRTUAL_MACHINE,,10.0.0.96,wdywjm2478,emea,uk-lon,dev,servicenow,node.js,
VIRTUAL_MACHINE,,10.0.0.97,oaprnh4334,emea,uk-lon,dev,servicenow,nginx,
VIRTUAL_MACHINE,,10.0.0.98,wamklx9039,emea,uk-lon,dev,servicenow,nginx,
VIRTUAL_MACHINE,,10.0.0.99,jhdnik9190,emea,fr-paris,prod,peoplesoft,tomcat,
VIRTUAL_MACHINE,,10.0.0.100,tietcp3415,emea,fr-paris,prod,peoplesoft,tomcat,
VIRTUAL_MACHINE,,10.0.0.101,egkypw0514,emea,fr-paris,prod,peoplesoft,weblogic,
VIRTUAL_MACHINE,,10.0.0.102,ugiurx6833,emea,fr-paris,prod,peoplesoft,weblogic,
VIRTUAL_MACHINE,,10.0.0.103,xvytsw0504,emea,fr-paris,prod,peoplesoft,postgres,
VIRTUAL_MACHINE,,10.0.0.104,jtgcoy1735,emea,fr-paris,prod,peoplesoft,postgres,
VIRTUAL_MACHINE,,10.0.0.106,tvumqw0205,nam,us-south,dev,confluence,nginx,
VIRTUAL_MACHINE,,10.0.0.107,dahhyj3645,nam,us-south,dev,confluence,nginx,
VIRTUAL_MACHINE,,10.0.0.108,opqqol5384,nam,us-south,dev,confluence,node.js,
VIRTUAL_MACHINE,,10.0.0.109,ratoxw0994,nam,us-south,dev,confluence,node.js,
VIRTUAL_MACHINE,,10.0.0.110,xeiuof9448,nam,us-south,dev,confluence,mysql,
VIRTUAL_MACHINE,,10.0.0.111,jnbtmg5637,nam,us-south,dev,confluence,mysql,
VIRTUAL_MACHINE,,10.0.0.112,pacdhv5336,nam,us-south,dev,lotus domino,nginx,
VIRTUAL_MACHINE,,10.0.0.113,ldnjqc8541,nam,us-south,dev,lotus domino,nginx,
VIRTUAL_MACHINE,,10.0.0.114,yyqubu1938,nam,us-south,dev,lotus domino,node.js,
VIRTUAL_MACHINE,,10.0.0.115,dzbfuz8344,nam,us-south,dev,lotus domino,node.js,
VIRTUAL_MACHINE,,10.0.0.116,usbrth1899,nam,us-south,dev,lotus domino,mysql,
VIRTUAL_MACHINE,,10.0.0.117,mfcpdh7351,nam,us-south,dev,lotus domino,mysql,
VIRTUAL_MACHINE,,10.0.0.118,dgexax7440,nam,us-south,dev,workday,nginx,
VIRTUAL_MACHINE,,10.0.0.119,gjpzjz0302,nam,us-south,dev,workday,nginx,
VIRTUAL_MACHINE,,10.0.0.120,esiwqy5470,nam,us-south,dev,workday,node.js,
VIRTUAL_MACHINE,,10.0.0.121,srzpko5936,nam,us-south,dev,workday,node.js,
VIRTUAL_MACHINE,,10.0.0.122,fbuhdq4189,nam,us-south,dev,workday,mysql,
VIRTUAL_MACHINE,,10.0.0.123,mmnnjj7789,nam,us-south,dev,workday,mysql,
